acl 2.2.53-1
poppler-data 0.4.9-1
popt 1.16-10
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 13.0-2
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-2
pygmentize 2.4.2-1
pygobject-devel 3.34.0-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.13.2-1
pyqtwebengine-common 5.13.2-1
python 3.7.4-2
python-appdirs 1.4.3-2
python-attrs 19.3.0-1
python-babel 2.7.0-1
python-chardet 3.0.4-2
python-dbus 1.2.10-1
python-dbus-common 1.2.10-1
python-docutils 0.14-2
python-gobject 3.34.0-1
python-idna 2.8-1
python-imagesize 1.1.0-1
python-jinja 2.10.3-1
python-markupsafe 1.1.1-1
python-packaging 19.2-2
python-pygments 2.4.2-1
python-pyparsing 2.4.4-1
python-pypeg2 2.15.2-3
python-pyqt5 5.13.2-1
python-pyqtwebengine 5.13.2-1
python-pytz 2019.3-1
python-requests 2.22.0-1
python-setproctitle 1.1.10-3
python-setuptools 1:41.2.0-1
python-sip-pyqt5 4.19.19-1
python-six 1.12.0-1
python-snowballstemmer 2.0.0-1
python-sphinx 2.2.1-1
python-sphinx-alabaster-theme 0.7.12-1
python-sphinxcontrib-applehelp 1.0.1-2
python-sphinxcontrib-devhelp 1.0.1-2
python-sphinxcontrib-htmlhelp 1.0.2-2
python-sphinxcontrib-jsmath 1.0.1-2
python-sphinxcontrib-qthelp 1.0.2-2
python-sphinxcontrib-serializinghtml 1.1.3-2
python-urllib3 1.25.6-1
python-yaml 5.1.2-1
python2 2.7.17-1
python2-cairo 1.18.2-1
python2-gobject2 2.28.7-2
qca 2.2.1-3
qt5-base 5.13.2-1
qt5-declarative 5.13.2-1
qt5-location 5.13.2-1
qt5-multimedia 5.13.2-1
qt5-speech 5.13.2-1
qt5-svg 5.13.2-1
qt5-webchannel 5.13.2-1
qt5-webengine 5.13.2-2
qt5-x11extras 5.13.2-1
qutebrowser-git 1.8.1.r325.gb6d8d867e-1
re2 20191101-1
readline 8.0.001-1
rest 0.8.1-1
rhash 1.3.8-1
rofi 1.5.4-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
runc 1.0.0rc9-1
sbc 1.4-1
sdl 1.2.15-13
sdl2 2.0.10-1
sed 4.7-2
semver 6.3.0-2
shaderc 2019.0-3
shadow 4.7-2
shared-mime-info 1.15-1
slack-desktop 4.1.2-2
slang 2.3.2-1
smartmontools 7.0-1
snappy 1.1.7-1
solid 5.64.0-1
sonnet 5.64.0-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2019.3-2
spotify 1:1.1.10.546-1
sqlite 3.30.1-1
startup-notification 0.12-6
sudo 1.8.29-1
suitesparse 5.6.0-1
sysfsutils 2.1.0-10
systemd 243.78-2
systemd-libs 243.78-2
systemd-sysvcompat 243.78-2
tar 1.32-2
tdb 1.3.18-2
termite 15-1
termite-terminfo 15-1
texinfo 6.7-1
thin-provisioning-tools 0.8.5-2
tslib 1.21-1
ttf-amiri 0.111-1
ttf-dejavu 2.37-2
ttf-droid 20121017-7
ttf-font-awesome 5.11.2-1
ttf-liberation 2.00.5-2
ttf-linux-libertine 5.3.0-4
ttf-sil-lateef 1.200-3
ttf-symbola 12.00-2
tzdata 2019c-2
udisks2 2.8.4-1
uefitool-git r217.f9b174f-1
upower 0.99.11-1
usbmuxd 1.1.0+48+g1cc8b34-3
util-linux 2.34-3
v4l-utils 1.16.7-1
vid.stab 1.1-2
vim 8.1.2268-1
vim-runtime 8.1.2268-1
virtualbox 6.0.14-1
virtualbox-ext-oracle 6.0.14-1
virtualbox-guest-dkms 6.0.14-1
virtualbox-guest-utils 6.0.14-1
virtualbox-host-modules-arch 6.0.14-4
visual-studio-code-bin 1.40.0-1
volume_key 0.3.11-2
vte-common 0.58.2-1
vulkan-icd-loader 1.1.127-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
which 2.21-4
wpa_supplicant 2:2.9-1
x264 3:0.157.r2980.34c06d1-1
x265 3.2.1-1
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xdg-utils 1.1.3+18+g0547886-2
xevdevserver 2.1.0-1
xf86-input-libinput 0.29.0-1
xf86-video-intel 1:2.99.917+893+gbff5eca4-1
xf86-video-vesa 2.4.0-2
xf86-video-vmware 13.3.0-1
xfsprogs 5.2.1-1
xkeyboard-config 2.28-1
xorg-appres 1.0.5-1
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.5-1
xorg-fonts-misc 1.0.3-6
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.5-4
xorg-server-common 1.20.5-4
xorg-server-devel 1.20.5-4
xorg-server-xdmx 1.20.5-4
xorg-server-xephyr 1.20.5-4
xorg-server-xnest 1.20.5-4
xorg-server-xvfb 1.20.5-4
xorg-server-xwayland 1.20.5-4
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-twm 1.0.10-1
xorg-util-macros 1.19.2-1
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xclock 1.0.9-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmessage 1.0.5-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
xorgproto 2019.2-1
xscreensaver-arch-logo 5.43-1
xterm 350-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
yay 9.4.2-1
zeromq 4.3.2-1
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-3
zstd 1.4.3-1
